code,name,address,city,state,zip,country,capacity_sqft,manager_name,manager_phone,manager_email
WH-JEQF,Beta Fulfillment Center,6180 River Rd,Philadelphia,CO,95709,US,6278,Manager NCAID,+1-672-934-4143,manager@globex.com
WH-CORM,Alpha Distribution Hub,2656 Hill Rd,Miami,IL,62962,US,170323,Manager ZRCIN,+1-287-606-7028,manager@globex.com
WH-RVMF,Theta Logistics Hub,5610 Lake Dr,New York,PA,40872,US,93100,Manager FXQKD,+1-291-601-8372,manager@massive.com
WH-MWGW,Kappa Fulfillment,7504 River Rd,Los Angeles,GA,34113,US,167855,Manager XWWAJ,+1-926-940-1621,manager@massive.com
WH-UJJC,Delta Storage Facility,1288 Lake Dr,Phoenix,TX,58255,US,114984,Manager RIPYS,+1-908-659-1128,manager@initech.com
WH-TDWA,Eta Distribution Center,9447 Oak Ave,New York,CA,56161,US,165763,Manager YOTKZ,+1-224-979-7145,manager@hooli.com
WH-JRIN,Epsilon Warehouse,6733 Park Ave,Seattle,OR,20406,US,162890,Manager JHCFG,+1-536-191-2732,manager@oscorp.com
WH-QLMD,Delta Storage Facility,1213 Hill Rd,Chicago,FL,97374,US,30472,Manager KOZJX,+1-212-745-4900,manager@hooli.com
WH-KKZW,Delta Storage Facility,7817 Washington Blvd,Boston,NY,34277,US,79862,Manager OAODP,+1-819-713-7544,manager@globex.com
WH-EGEI,Gamma Logistics Park,8206 Lake Dr,Miami,WA,90984,US,187958,Manager GDDIB,+1-749-378-3110,manager@umbrella.com
WH-YTNJ,Gamma Logistics Park,4059 Market St,Seattle,AZ,83358,US,27161,Manager YLVRK,+1-642-689-4317,manager@wayne.com
WH-LGXS,Iota Storage,9699 Washington Blvd,San Diego,CA,47199,US,173782,Manager OKBFS,+1-388-684-6353,manager@hooli.com
WH-XPCV,Gamma Logistics Park,828 Broadway,Seattle,FL,49981,US,105395,Manager WYSRJ,+1-223-336-1532,manager@hooli.com
WH-WEDA,Eta Distribution Center,3528 Broadway,Boston,MN,50605,US,187510,Manager CQKNV,+1-243-937-3117,manager@massive.com
WH-MAPG,Beta Fulfillment Center,9901 River Rd,San Diego,FL,75254,US,27017,Manager TLPAW,+1-977-350-8840,manager@stark.com
WH-GAIM,Delta Storage Facility,197 Broadway,Chicago,NY,40020,US,98029,Manager QYWQI,+1-400-227-2150,manager@acmecorp.com
WH-HXFF,Theta Logistics Hub,7847 River Rd,Boston,AZ,72515,US,66260,Manager VKHWA,+1-313-215-5952,manager@initech.com
WH-MWTE,Epsilon Warehouse,9511 Main St,San Diego,NY,27235,US,174427,Manager RJNGH,+1-894-903-1550,manager@oscorp.com
WH-SCTT,Eta Distribution Center,6424 Market St,Dallas,GA,40349,US,70064,Manager AQCIW,+1-644-144-2994,manager@umbrella.com
WH-ODMQ,Gamma Logistics Park,6906 Lake Dr,Dallas,TX,27347,US,84066,Manager RGOXF,+1-836-756-5979,manager@cyberdyne.com
WH-OHYT,Delta Storage Facility,8240 Oak Ave,New York,MN,53683,US,102338,Manager ARZEB,+1-657-971-1697,manager@wayne.com
WH-QJIU,Epsilon Warehouse,4304 Oak Ave,San Diego,OH,41946,US,41809,Manager MXKDR,+1-276-220-8396,manager@acmecorp.com
WH-VMLC,Beta Fulfillment Center,5685 Main St,San Diego,TX,90084,US,191678,Manager GTLZX,+1-397-279-7949,manager@cyberdyne.com
WH-DTGH,Iota Storage,4009 Lake Dr,Austin,TX,60312,US,186732,Manager YWCLJ,+1-387-658-1156,manager@massive.com
WH-EMOL,Delta Storage Facility,8479 Broadway,Miami,PA,52955,US,169854,Manager UGGFZ,+1-461-875-6686,manager@massive.com
WH-JCCX,Beta Fulfillment Center,2689 Hill Rd,Minneapolis,PA,71782,US,145259,Manager UBNCL,+1-262-446-7892,manager@oscorp.com
WH-OSQZ,Zeta Cross-Dock,3319 Hill Rd,Seattle,CO,14371,US,121541,Manager OCCHC,+1-716-889-6052,manager@globex.com
WH-AYPG,Iota Storage,7124 Hill Rd,New York,GA,11496,US,56114,Manager RBIZX,+1-902-593-4353,manager@hooli.com
WH-NFQR,Zeta Cross-Dock,6835 Park Ave,Dallas,GA,93934,US,31535,Manager ZICMC,+1-690-416-2699,manager@wayne.com
WH-ULXM,Alpha Distribution Hub,9340 River Rd,Portland,CA,76028,US,154447,Manager QDYFA,+1-668-779-3774,manager@umbrella.com
WH-DJQF,Theta Logistics Hub,4700 Lake Dr,Boston,CA,52779,US,22665,Manager JOXWQ,+1-549-914-2574,manager@wayne.com
WH-AEAA,Zeta Cross-Dock,926 River Rd,Seattle,CO,23393,US,82495,Manager MYXNW,+1-875-251-5420,manager@oscorp.com
WH-DIHL,Iota Storage,9417 Main St,Chicago,FL,40067,US,152516,Manager AUTCI,+1-587-186-3953,manager@massive.com
WH-BRUX,Iota Storage,5733 Broadway,Denver,GA,46584,US,178748,Manager NENTL,+1-731-849-8719,manager@oscorp.com
WH-GJWS,Gamma Logistics Park,4698 Main St,Chicago,WA,83339,US,78745,Manager RXWUX,+1-262-829-2484,manager@wayne.com
WH-MJJH,Epsilon Warehouse,7812 River Rd,Phoenix,AZ,19707,US,74745,Manager XYDQX,+1-460-926-7592,manager@umbrella.com
WH-TNHF,Epsilon Warehouse,9624 Park Ave,Austin,OH,40953,US,156380,Manager KSNMD,+1-219-207-3319,manager@cyberdyne.com
WH-AYRZ,Delta Storage Facility,8807 Market St,Houston,IL,41843,US,94048,Manager NVGAG,+1-557-845-6616,manager@cyberdyne.com
WH-MNLT,Iota Storage,1785 Hill Rd,Nashville,OR,97535,US,92913,Manager OXSDS,+1-317-335-5129,manager@hooli.com
WH-UABH,Iota Storage,5292 Hill Rd,Philadelphia,IL,57798,US,166429,Manager FDCUR,+1-344-295-8860,manager@cyberdyne.com
WH-GBKQ,Epsilon Warehouse,9296 Hill Rd,Chicago,FL,73763,US,165372,Manager LXHGR,+1-433-803-5201,manager@wayne.com
WH-SZUX,Alpha Distribution Hub,4104 Main St,Portland,FL,30633,US,121919,Manager IOAGL,+1-526-478-2017,manager@acmecorp.com
WH-ZSGJ,Theta Logistics Hub,8212 Main St,Seattle,IL,32201,US,113602,Manager YKOYL,+1-888-197-2328,manager@cyberdyne.com
WH-MWTX,Epsilon Warehouse,8182 Washington Blvd,Atlanta,IL,70271,US,81615,Manager MQQBW,+1-395-684-6336,manager@oscorp.com
WH-VSAA,Gamma Logistics Park,1081 River Rd,Atlanta,GA,33545,US,86203,Manager BVECD,+1-308-106-7875,manager@oscorp.com
WH-DBUI,Eta Distribution Center,9099 Market St,Seattle,TN,30731,US,98184,Manager RGPXK,+1-977-262-4143,manager@acmecorp.com
WH-YADY,Iota Storage,6986 Broadway,Atlanta,CO,95303,US,141680,Manager SSIOR,+1-547-949-8663,manager@massive.com
WH-ATZE,Alpha Distribution Hub,4648 Oak Ave,Boston,IL,48009,US,147419,Manager NAWOC,+1-565-854-2834,manager@hooli.com
WH-DYHW,Theta Logistics Hub,746 Main St,Nashville,MN,69089,US,173821,Manager APOGJ,+1-491-981-1140,manager@wayne.com
WH-MXKR,Epsilon Warehouse,9624 Market St,New York,CA,63429,US,94561,Manager WADOQ,+1-602-975-7763,manager@umbrella.com
WH-JXOX,Kappa Fulfillment,6884 Park Ave,San Diego,WA,31776,US,117553,Manager ASJGT,+1-485-670-7808,manager@oscorp.com
WH-NLBA,Delta Storage Facility,2241 River Rd,Miami,PA,77747,US,68132,Manager OIZXQ,+1-523-461-6284,manager@stark.com
WH-ZKXU,Epsilon Warehouse,8835 Washington Blvd,Minneapolis,IL,64568,US,132946,Manager FVVTN,+1-766-582-1963,manager@cyberdyne.com
WH-JFIH,Delta Storage Facility,7820 Hill Rd,New York,PA,63435,US,9244,Manager YVNUN,+1-986-647-1871,manager@initech.com
WH-PUQS,Zeta Cross-Dock,9251 Lake Dr,Seattle,CO,82015,US,159734,Manager QZVDG,+1-681-362-2036,manager@massive.com
WH-SLTY,Gamma Logistics Park,3770 Washington Blvd,Los Angeles,OR,57766,US,48129,Manager AIGVN,+1-723-208-7463,manager@umbrella.com
WH-BNYC,Eta Distribution Center,1204 Main St,Los Angeles,CO,56928,US,162812,Manager ESSPC,+1-773-722-1487,manager@initech.com
WH-YYMG,Delta Storage Facility,2797 River Rd,Atlanta,CO,79683,US,132151,Manager UEULD,+1-556-612-6936,manager@initech.com
WH-LZKG,Theta Logistics Hub,1862 Market St,Austin,PA,51470,US,55188,Manager EWHMG,+1-978-315-7288,manager@hooli.com
WH-VGHF,Eta Distribution Center,1213 Broadway,San Diego,TN,54571,US,147088,Manager KXGMG,+1-723-320-4299,manager@wayne.com
WH-ZOGF,Delta Storage Facility,223 Hill Rd,San Diego,AZ,93159,US,111006,Manager OAEAB,+1-460-356-4568,manager@massive.com
WH-GPJR,Alpha Distribution Hub,181 Washington Blvd,Phoenix,TX,14316,US,165039,Manager CLFLZ,+1-525-783-2830,manager@umbrella.com
WH-VPJD,Epsilon Warehouse,6152 Main St,Philadelphia,NY,55575,US,47983,Manager TAVSX,+1-930-788-6748,manager@hooli.com
WH-ONGL,Beta Fulfillment Center,5639 Elm St,Portland,CO,57378,US,163806,Manager JIWTU,+1-509-479-8576,manager@massive.com
WH-UEPU,Kappa Fulfillment,158 Elm St,Nashville,MN,47328,US,168588,Manager BNUJA,+1-257-596-7097,manager@cyberdyne.com
WH-LYDY,Epsilon Warehouse,1692 Broadway,Los Angeles,AZ,88754,US,156672,Manager GIZNW,+1-965-719-3972,manager@initech.com
WH-DMVZ,Kappa Fulfillment,1521 Hill Rd,Austin,CA,77130,US,34532,Manager LCQPR,+1-209-689-3058,manager@oscorp.com
WH-FRRB,Delta Storage Facility,1100 Oak Ave,Seattle,GA,60875,US,88488,Manager UBKXF,+1-566-771-1911,manager@stark.com
WH-WMBI,Eta Distribution Center,7630 Broadway,Philadelphia,IL,21061,US,70786,Manager VYPCP,+1-202-209-8798,manager@massive.com
WH-LLAW,Alpha Distribution Hub,8603 Elm St,Los Angeles,CO,97197,US,143072,Manager LJSPE,+1-535-793-8584,manager@wayne.com
WH-UUNV,Eta Distribution Center,6821 Market St,New York,TN,57926,US,85941,Manager IVYHC,+1-306-605-4232,manager@wayne.com
WH-HDUA,Beta Fulfillment Center,9409 Market St,Austin,IL,83023,US,133438,Manager ZRBCG,+1-357-165-2685,manager@initech.com
WH-IDCK,Eta Distribution Center,3458 Elm St,Chicago,MN,15517,US,118831,Manager TYVDT,+1-503-889-2126,manager@wayne.com
WH-KAYK,Beta Fulfillment Center,431 Hill Rd,New York,CO,43179,US,15665,Manager VUUPK,+1-390-662-3445,manager@cyberdyne.com
WH-XSQP,Kappa Fulfillment,5962 Lake Dr,Los Angeles,WA,35646,US,199148,Manager SYWIE,+1-443-264-7555,manager@wayne.com
WH-RNNB,Alpha Distribution Hub,8565 Market St,Chicago,CA,88330,US,72703,Manager OVETJ,+1-520-510-9117,manager@initech.com
WH-LVIK,Beta Fulfillment Center,5909 Main St,Minneapolis,GA,51910,US,188097,Manager MDJBE,+1-219-374-3792,manager@wayne.com
WH-WXAW,Delta Storage Facility,6140 Main St,Portland,TX,65932,US,157081,Manager ZPSVB,+1-807-396-7049,manager@massive.com
WH-ONAD,Beta Fulfillment Center,3444 Washington Blvd,Minneapolis,OH,85519,US,122284,Manager JRIKZ,+1-955-150-4401,manager@cyberdyne.com
WH-VNLB,Gamma Logistics Park,216 Park Ave,Austin,FL,98584,US,28969,Manager WWTOE,+1-638-730-9480,manager@umbrella.com
WH-MVRF,Theta Logistics Hub,1148 River Rd,Phoenix,WA,14798,US,172228,Manager MUDDH,+1-796-755-4976,manager@umbrella.com
WH-ALBS,Zeta Cross-Dock,164 Main St,Los Angeles,AZ,91452,US,15781,Manager AVMMY,+1-930-441-5464,manager@massive.com
WH-GAQJ,Alpha Distribution Hub,3284 River Rd,Nashville,TX,15632,US,49882,Manager LMEHA,+1-589-259-9162,manager@initech.com
WH-ZNJT,Delta Storage Facility,9639 Main St,New York,WA,59561,US,106491,Manager HXBSW,+1-869-573-7070,manager@stark.com
WH-ZZPJ,Delta Storage Facility,4485 Park Ave,Austin,AZ,32820,US,150471,Manager DGOTF,+1-551-879-1805,manager@wayne.com
WH-VELC,Gamma Logistics Park,9276 Washington Blvd,San Antonio,TX,49963,US,77370,Manager XKPEK,+1-411-455-6767,manager@initech.com
WH-FDVN,Alpha Distribution Hub,7133 Main St,Philadelphia,MA,24726,US,174577,Manager GOUKP,+1-241-337-3322,manager@wayne.com
WH-ETWX,Iota Storage,3320 Park Ave,Los Angeles,FL,53917,US,141681,Manager RFDBP,+1-377-909-2603,manager@initech.com
WH-OUDH,Alpha Distribution Hub,481 Oak Ave,Atlanta,FL,77235,US,120629,Manager RVTCU,+1-668-269-8293,manager@oscorp.com
WH-VRQV,Alpha Distribution Hub,3476 Oak Ave,Seattle,CO,95723,US,116085,Manager OQLYG,+1-566-219-5980,manager@oscorp.com
WH-BRDD,Eta Distribution Center,5447 Broadway,Nashville,FL,11213,US,180647,Manager PTEAP,+1-392-698-2049,manager@massive.com
WH-MINE,Alpha Distribution Hub,2193 Park Ave,Miami,TX,66453,US,160572,Manager EXOYR,+1-767-430-5691,manager@initech.com
WH-TTAW,Alpha Distribution Hub,1462 Park Ave,Houston,CO,98095,US,196324,Manager FBXHZ,+1-372-508-5555,manager@massive.com
WH-NXFS,Gamma Logistics Park,2770 Oak Ave,Boston,GA,42377,US,44868,Manager IKDAA,+1-327-280-2770,manager@initech.com
WH-PRLW,Zeta Cross-Dock,2375 Oak Ave,Denver,NY,17772,US,94957,Manager IQUIC,+1-647-319-2931,manager@initech.com
WH-CULX,Delta Storage Facility,9185 Oak Ave,Dallas,MA,46761,US,45497,Manager YQKPV,+1-820-162-9854,manager@wayne.com
WH-XOZL,Delta Storage Facility,418 Broadway,Dallas,WA,82841,US,111148,Manager LOBED,+1-624-952-1010,manager@wayne.com
WH-DNUQ,Beta Fulfillment Center,3807 Hill Rd,Philadelphia,IL,90165,US,40433,Manager YHSSQ,+1-541-814-8366,manager@initech.com
WH-YIND,Epsilon Warehouse,7004 Elm St,Philadelphia,GA,44549,US,84815,Manager DYLSK,+1-999-180-4747,manager@massive.com
WH-SDCO,Eta Distribution Center,8934 Park Ave,Nashville,CA,69598,US,33174,Manager VZNKN,+1-580-724-2493,manager@cyberdyne.com
WH-QENV,Delta Storage Facility,763 Main St,Portland,TX,41129,US,196352,Manager SWLME,+1-627-479-3067,manager@hooli.com
WH-CDMC,Epsilon Warehouse,5558 Lake Dr,Denver,WA,94463,US,91850,Manager PWGVN,+1-814-106-7553,manager@acmecorp.com
WH-HHQN,Kappa Fulfillment,6790 Market St,San Diego,OH,33517,US,153158,Manager DHJOC,+1-663-646-6060,manager@oscorp.com
WH-LIBM,Iota Storage,2177 Hill Rd,Nashville,MN,75985,US,29094,Manager CZJYU,+1-245-270-5906,manager@oscorp.com
WH-RIPN,Gamma Logistics Park,4853 Elm St,Los Angeles,TX,39033,US,121138,Manager EEETG,+1-318-116-4334,manager@umbrella.com
WH-DIYB,Beta Fulfillment Center,3864 River Rd,Seattle,TN,48019,US,152926,Manager JNSLT,+1-439-957-2632,manager@stark.com
WH-QBGK,Epsilon Warehouse,5976 Oak Ave,Dallas,CO,24693,US,134865,Manager LMOYU,+1-408-902-4122,manager@hooli.com
WH-HIVG,Beta Fulfillment Center,7287 River Rd,Los Angeles,CA,38582,US,108312,Manager NGFFA,+1-395-689-8223,manager@oscorp.com
WH-BKDB,Iota Storage,5175 Market St,Austin,GA,53204,US,83521,Manager WQYVJ,+1-934-110-5404,manager@hooli.com
WH-DOLK,Eta Distribution Center,1758 Oak Ave,Denver,CO,81993,US,108723,Manager NGNWL,+1-411-670-3235,manager@globex.com
WH-XWTF,Theta Logistics Hub,2524 Broadway,San Diego,TN,58900,US,165493,Manager MBVBJ,+1-926-478-9428,manager@acmecorp.com
WH-JDLV,Iota Storage,5502 Hill Rd,Phoenix,IL,26096,US,191972,Manager RGDCI,+1-987-821-5311,manager@stark.com
WH-ARFH,Iota Storage,1121 Broadway,Chicago,CO,34156,US,178796,Manager IYRRN,+1-987-380-5182,manager@hooli.com
WH-MXWO,Delta Storage Facility,7164 Hill Rd,Dallas,TN,63613,US,37935,Manager OCXQT,+1-322-883-2845,manager@umbrella.com
WH-WCVJ,Eta Distribution Center,4938 River Rd,Miami,OR,59671,US,167219,Manager TLGBH,+1-862-243-9327,manager@initech.com
WH-VQHP,Theta Logistics Hub,6788 Washington Blvd,Denver,MA,10222,US,29007,Manager XVKYW,+1-667-778-9406,manager@initech.com
WH-UAJQ,Gamma Logistics Park,7288 River Rd,Atlanta,WA,90227,US,59351,Manager KCVFJ,+1-232-483-5558,manager@massive.com
WH-UKST,Iota Storage,7746 Lake Dr,San Antonio,MA,72159,US,86398,Manager ZCTUB,+1-396-171-4072,manager@initech.com
WH-HBXM,Kappa Fulfillment,8159 Main St,Los Angeles,IL,50208,US,189610,Manager AEMWR,+1-742-537-7564,manager@globex.com
WH-GDQV,Zeta Cross-Dock,9479 Park Ave,Minneapolis,PA,58884,US,137427,Manager GMUDU,+1-854-192-3611,manager@cyberdyne.com
,,,,,,,,,,
NO-NAME,,5771 Lake Dr,Boston,OR,68799,US,10000,Mgr,+1-791-134-3456,mgr@umbrella.com
BAD-CAPACITY,Delta Storage Facility,2074 Oak Ave,Dallas,AZ,14608,US,HUGE,Mgr,+1-933-207-8451,mgr@acmecorp.com
,,,,,,,,,,
WH-FINAL,Final Warehouse,7987 Hill Rd,Portland,IL,76620,US,50000,Final Mgr,+1-635-159-9781,final@initech.com
